areaCode,areaName,areaType,date,newCasesBySpecimenDate
S12000045,East Dunbartonshire,ltla,2021-09-13,74
W06000023,Powys,ltla,2021-09-13,114
E06000003,Redcar and Cleveland,ltla,2021-09-12,52
E07000040,East Devon,ltla,2021-09-12,34
E07000090,Havant,ltla,2021-09-12,36
E07000214,Surrey Heath,ltla,2021-09-12,42
E07000229,Worthing,ltla,2021-09-12,16
E08000001,Bolton,ltla,2021-09-12,76
E08000009,Trafford,ltla,2021-09-12,92
E08000016,Barnsley,ltla,2021-09-12,140
E08000032,Bradford,ltla,2021-09-12,169
E09000003,Barnet,ltla,2021-09-12,122
E09000018,Hounslow,ltla,2021-09-12,77
E09000032,Wandsworth,ltla,2021-09-12,85
E09000033,Westminster,ltla,2021-09-12,61
S12000045,East Dunbartonshire,ltla,2021-09-12,100
W06000023,Powys,ltla,2021-09-12,73
E06000003,Redcar and Cleveland,ltla,2021-09-11,48
E07000040,East Devon,ltla,2021-09-11,28
E07000090,Havant,ltla,2021-09-11,37
E07000214,Surrey Heath,ltla,2021-09-11,20
E07000229,Worthing,ltla,2021-09-11,12
E08000001,Bolton,ltla,2021-09-11,63
E08000009,Trafford,ltla,2021-09-11,74
E08000016,Barnsley,ltla,2021-09-11,110
E08000032,Bradford,ltla,2021-09-11,169
E09000003,Barnet,ltla,2021-09-11,106
E09000018,Hounslow,ltla,2021-09-11,78
E09000032,Wandsworth,ltla,2021-09-11,73
E09000033,Westminster,ltla,2021-09-11,61
S12000045,East Dunbartonshire,ltla,2021-09-11,86
W06000023,Powys,ltla,2021-09-11,77
E06000003,Redcar and Cleveland,ltla,2021-09-10,67
E07000040,East Devon,ltla,2021-09-10,45
E07000090,Havant,ltla,2021-09-10,53
E07000214,Surrey Heath,ltla,2021-09-10,24
E07000229,Worthing,ltla,2021-09-10,33
E08000001,Bolton,ltla,2021-09-10,107
E08000009,Trafford,ltla,2021-09-10,85
E08000016,Barnsley,ltla,2021-09-10,147
E08000032,Bradford,ltla,2021-09-10,189
E09000003,Barnet,ltla,2021-09-10,130
E09000018,Hounslow,ltla,2021-09-10,73
E09000032,Wandsworth,ltla,2021-09-10,70
E09000033,Westminster,ltla,2021-09-10,55
S12000045,East Dunbartonshire,ltla,2021-09-10,93
W06000023,Powys,ltla,2021-09-10,81
E06000003,Redcar and Cleveland,ltla,2021-09-09,69
E07000040,East Devon,ltla,2021-09-09,55
E07000090,Havant,ltla,2021-09-09,42
E07000214,Surrey Heath,ltla,2021-09-09,32
E07000229,Worthing,ltla,2021-09-09,26
E08000001,Bolton,ltla,2021-09-09,116
E08000009,Trafford,ltla,2021-09-09,128
E08000016,Barnsley,ltla,2021-09-09,164
E08000032,Bradford,ltla,2021-09-09,222
E09000003,Barnet,ltla,2021-09-09,173
E09000018,Hounslow,ltla,2021-09-09,109
E09000032,Wandsworth,ltla,2021-09-09,72
E09000033,Westminster,ltla,2021-09-09,80
